,,,,,,,,,,,,,,,,,,,,,
1,f_1,1. General identification information about the survey,,,,,,,,,,,,,,,,,,,
2,f_1_0,1.0. Country,HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia)
13,f_1_8b,"1.8b. If subnational, type of subnational area",4.Mix (more than one subnational area type),1.Predominantly urban / Cities (densely populated areas),1.Predominantly urban / Cities (densely populated areas),4.Mix (more than one subnational area type),4.Mix (more than one subnational area type),2.Intermediate / Towns and suburbs (intermediate density areas),3.Predominantly rural / Rural areas (thinly populated areas),1.Predominantly urban / Cities (densely populated areas),3.Predominantly rural / Rural areas (thinly populated areas),3.Predominantly rural / Rural areas (thinly populated areas),4.Mix (more than one subnational area type),2.Intermediate / Towns and suburbs (intermediate density areas),2.Intermediate / Towns and suburbs (intermediate density areas),2.Intermediate / Towns and suburbs (intermediate density areas),2.Intermediate / Towns and suburbs (intermediate density areas),2.Intermediate / Towns and suburbs (intermediate density areas),2.Intermediate / Towns and suburbs (intermediate density areas),3.Predominantly rural / Rural areas (thinly populated areas),4.Mix (more than one subnational area type)
14,f_1_9,1.9. Representative of the population,0.No,-9.Don't know,0.No,0.No,0.No,-9.Don't know,-9.Don't know,0.No,0.No,0.No,0.No,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,0.No,1.Yes,0.No
15,f_1_10,1.10. Type of survey,1.Single cross-section,1.Single cross-section,1.Single cross-section,2.Repeated cross-section (multiple waves with different samples),2.Repeated cross-section (multiple waves with different samples),1.Single cross-section,1.Single cross-section,1.Single cross-section,1.Single cross-section,1.Single cross-section,1.Single cross-section,2.Repeated cross-section (multiple waves with different samples),2.Repeated cross-section (multiple waves with different samples),2.Repeated cross-section (multiple waves with different samples),3.Longitudinal/panel survey (multiple waves with the same or partially overlapping samples),3.Longitudinal/panel survey (multiple waves with the same or partially overlapping samples),1.Single cross-section,1.Single cross-section,1.Single cross-section
16,f_1_10a,"1.10a. If ""other"" in 1.10. specify",-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
17,f_1_11,1.11. Starting date of survey ,15/09/2013,00/00/2014,00/00/2011,00/09/2004,00/03/2005,00/10/2008,-99.Information not available,00/00/2012,-99.Information not available,00/00/2005,00/00/2002,00/10/2001,00/09/2007,00/00/2011,00/06/2000,00/06/2002,00/00/2008,00/06/2013,00/00/2016
18,f_1_12,1.12. End date of survey,15/10/2013,00/00/2014,00/00/2011,00/12/2004,00/05/2005,00/11/2008,-99.Information not available,00/00/2012,-99.Information not available,00/00/2006,00/00/2002,00/10/2001,00/10/2007,00/00/2011,00/06/2000,00/06/2002,00/00/2008,00/07/2013,00/00/2017
19,f_1_12a,1.12a. Survey in development/not yet completed,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No
20,sh_1_13,1.13. Main topic(s) in the survey [Choose yes/no for each topic below],,,,,,,,,,,,,,,,,,,
21,f_1_13_1,1.13.1.Asylum seekers and refugee issues,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No
22,f_1_13_2,1.13.2.Citizenship and naturalization,0.No,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No
23,f_1_13_3,1.13.3.Consumption and/or leisure,0.No,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,0.No
24,f_1_13_4,1.13.4.Demographic characteristics/behaviours,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,0.No,0.No,1.Yes,1.Yes,1.Yes,0.No,0.No,0.No,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes
25,f_1_13_5,"1.13.5.Discrimination, racism and/or xenophobia",1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,1.Yes,0.No,0.No,0.No
26,f_1_13_6,"1.13.6.Educational attainment/trajectory, human capital, skills",0.No,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,0.No,1.Yes,0.No,1.Yes,1.Yes,1.Yes,0.No,0.No,0.No,1.Yes,1.Yes
27,f_1_13_7,"1.13.7.Family reunification, marriage, family relations",0.No,1.Yes,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,0.No,0.No
28,f_1_13_8,"1.13.8.Gender relations, gender identity, sexuality",0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No
29,f_1_13_9,1.13.9.Housing/housing access,0.No,1.Yes,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,0.No
30,f_1_13_10,1.13.10.Health/health access,0.No,1.Yes,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No
31,f_1_13_11,1.13.11.Human smuggling and trafficking,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No
32,f_1_13_12,"1.13.12.Identity (ethnic, national, racial, religious) and belonging",1.Yes,1.Yes,0.No,1.Yes,1.Yes,1.Yes,0.No,1.Yes,1.Yes,1.Yes,0.No,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,0.No,0.No
33,f_1_13_13,1.13.13.Income-related (and/or poverty),1.Yes,1.Yes,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,0.No
34,f_1_13_14,1.13.14.Interethnic contact & conflict,1.Yes,0.No,0.No,1.Yes,1.Yes,1.Yes,1.Yes,0.No,0.No,0.No,0.No,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,0.No,0.No
35,f_1_13_15,1.13.15.Labour market integration,0.No,1.Yes,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,1.Yes
36,f_1_13_16,1.13.16.Language skills/training,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No
37,f_1_13_17,"1.13.17.Leisure, sports, arts",0.No,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No
38,f_1_13_18,1.13.18.Legal status/administrative situation,1.Yes,1.Yes,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,0.No
39,f_1_13_19,1.13.19.Migration trajectory (past/future),0.No,1.Yes,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,0.No
40,f_1_13_20,"1.13.20.Political inclusion and participation, and social/political attitudes",1.Yes,1.Yes,1.Yes,0.No,0.No,1.Yes,0.No,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,1.Yes,0.No,0.No,0.No
41,f_1_13_21,1.13.21.Public attitudes about migration and migrants,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No
42,f_1_13_22,1.13.22.Reasons for migration/migration drivers,0.No,1.Yes,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No
43,f_1_13_23,1.13.23.Return migration,0.No,1.Yes,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No
44,f_1_13_24,1.13.24.Social cohesion and/or civic engagement and/or networks,0.No,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No
45,f_1_13_25,1.13.25.Space use/spatial consequences,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No
46,f_1_13_26,1.13.26.Time use,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No
47,f_1_13_27,"1.13.27.Transnational patterns (e.g. remittances, travel, engagement with ‘home’ country politics, etc.) and diasporas",0.No,1.Yes,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No
48,f_1_13_28,1.13.28.Unaccompanied migrant minors,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No
49,f_1_13_29,1.13.39.Religion,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No
50,f_1_13_30,1.13.30.Other,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No
51,f_1_13_30a,"1.13.30a. If ""other"" in 1.13, specify",-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
52,sh_1_14,1.14. Main purpose of the survey [Choose yes/no for each purpose below],,,,,,,,,,,,,,,,,,,
53,f_1_14_1,1.14.1.Research/academic,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,0.No,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,0.No,0.No
54,f_1_14_2,1.14.2.Public policy,0.No,0.No,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,0.No,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,0.No,1.Yes,1.Yes
55,f_1_14_3,1.14.3.Government statistics,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No
56,f_1_14_4,1.14.4.NGO/non-profit organisations,0.No,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,1.Yes
57,f_1_14_5,1.14.5.Commercial,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No
58,f_1_14_6,1.14.6.Other,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No
59,f_1_14a,"1.14a. If ""other"" in 1.14, specify",-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
60,f_1_15,1.15. Coverage of the target population in terms of age,4. Adult population (18+ or 15+) only,4. Adult population (18+ or 15+) only,4. Adult population (18+ or 15+) only,4. Adult population (18+ or 15+) only,4. Adult population (18+ or 15+) only,4. Adult population (18+ or 15+) only,6. A combination of minors and adults,6. A combination of minors and adults,2. Youth (between 13 – 25 years-old) only,4. Adult population (18+ or 15+) only,2. Youth (between 13 – 25 years-old) only,6. A combination of minors and adults,6. A combination of minors and adults,6. A combination of minors and adults,4. Adult population (18+ or 15+) only,4. Adult population (18+ or 15+) only,2. Youth (between 13 – 25 years-old) only,6. A combination of minors and adults,4. Adult population (18+ or 15+) only
61,f_1_16,1.16. Coverage of the target population in terms of the sex of the respondents,3. Both men and women,3. Both men and women,3. Both men and women,3. Both men and women,3. Both men and women,3. Both men and women,3. Both men and women,3. Both men and women,3. Both men and women,3. Both men and women,3. Both men and women,3. Both men and women,3. Both men and women,3. Both men and women,3. Both men and women,3. Both men and women,3. Both men and women,3. Both men and women,3. Both men and women
62,f_1_17,1.17. Comments relevant to variables in section 1,-999.Not applicable,-999.Not applicable,"The research initially targeted both men and women, but men are overrepresented in the sample. Data on gender characteristics of the target population are not available, but the authors of the study conclude that it is likely that men predominate in the population of foreign workers in Croatia based on their employment sector. The main topics (1.13) were reconstructed from the published articles and/or research reports referring to the “methods sections” and/or presented results.","The main topics (1.13) were reconstructed from the published articles and/or research reports referring to the “methods sections” and/or presented results. The specific areas sampled in the regions were Western Slavonia (Stara Gradiška, Okučani, Vrbovljani, Trnava, Čovac, Medari, Dragalić, Smrtić, Šeovica, Pakrac, Ratkovac, Bučje, Gređani); Eastern Slavonia (Vukovar, Borovo Naselje, Borovo, Novi Čeminac, Stari Čeminac, Bolman, Jagodnjak).","The main topics (1.13) were reconstructed from the published articles and/or research reports referring to the “methods sections” and/or presented results. Sampling within each region was as follows: Banovina (Petrinja, Glina, Blinjski Kut, Kinjačka); Dalmatia (Knin, Vaćani, Dobrijevići, Kruševo, Grabovac, Šopot, Gaćeleze, Pristeg, Stankovci, Bila Vlaka, Ceranje Gornje, Čista Velika, Čista Mala, Krković, Budak, Dobra Voda, Pamučari, Bratiškovci)",The main topics (1.13) were reconstructed from the published articles and/or research reports referring to the “methods sections” and/or presented results.,"From the published article, it is evident that the survey has been completed (1.12a); however, the authors did not indicate when the survey was conducted. The main topics (1.13) were reconstructed from the published articles and/or research reports referring to the “methods sections” and/or presented results. Sampling areas were as follows: Međimurska county (3 small localities: Kuršanec, Strahoninec, Savska Ves)",The main topics (1.13) were reconstructed from the published articles and/or research reports referring to the “methods sections” and/or presented results.,"From the published article, it is evident that the survey has been completed (1.12a); however, the authors did not indicate when the survey was conducted. The demographic characteristics/behaviours topic (1.13.4.) includes (minority) language use in different social settings. The research (supposedly) included pupils attending minority educational programmes at school and their parents, but it reports only on a survey undertaken on 53 pupils.","The main topics (1.13) were reconstructed from the published articles and/or research reports referring to the “methods sections” and/or presented results. Sampling areas as follows: Baranja (Darda, Beli Manastir, Torjanci, Boldman); Međimurje (Krušanec)","The main topics (1.13) were reconstructed from the published articles and/or research reports referring to the “methods sections” and/or presented results. The health/health access topic (1.13.10) incudes a scale measuring patterns related to dietary habits and dietary behavior (dieting) and questions related to the psychological functioning (perceived body-image, self-esteem, life satisfaction). There is no information provided as to when the survey was conducted. However, the specific dates of the project, within which the survey was conducted, and the article publication date indicate that the survey could have been carried out in 2002. Areas sampled as follows: Dalmatia (regional centre - Split, Island Hvar)",The main topics (1.13) were reconstructed from the published articles and/or research reports referring to the “methods sections” and/or presented results.,The main topics (1.13) were reconstructed from the published articles and/or research reports referring to the “methods sections” and/or presented results.,The main topics (1.13) were reconstructed from the published articles and/or research reports referring to the “methods sections” and/or presented results.,The main topics (1.13) were reconstructed from the published articles and/or research reports referring to the “methods sections” and/or presented results.,The main topics (1.13) were reconstructed from the published articles and/or research reports referring to the “methods sections” and/or presented results. The authors stress that the questionnaire was slightly modified in the second wave. ,"The main topics (1.13) were reconstructed from the published articles and/or research reports referring to the “methods sections” and/or presented results. The family reunification, marriage, family relations topic (1.13.7) includes parental communication and interfamilial relations. ",The main topics (1.13) were reconstructed from the published articles and/or research reports referring to the “methods sections” and/or presented results. The author state that the data collected in Krušanec is representative of the entire region of Međimirje.,The main topics (1.13) were reconstructed from the published articles and/or research reports referring to the “methods sections” and/or presented results. The survey also included representatives of six local authorities (local self-government units).
63,f_2,2. Information about the inclusion of the survey in the larger study ,,,,,,,,,,,,,,,,,,,
64,f_2_1,2.1. ID number for larger study (leave blank),-999.Not applicable,-999.Not applicable,-999.Not applicable,WES2004,CCS2005,-999.Not applicable,-999.Not applicable,LLT2012,-999.Not applicable,-999.Not applicable,-999.Not applicable,AEV2001,AEV2001,AEV2001,CIC2000,CIC2000,-999.Not applicable,-999.Not applicable,-999.Not applicable
65,f_2_2,2.2. Study acronym,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
66,f_2_3,2.3. Name of the larger study Eng.,-999.Not applicable,-999.Not applicable,-999.Not applicable,Empirical Research: (Re)Construction of Primary Social Relations Network in Local Communities in Western and Eastern Slavonia,Coexistence of Croats and Serbs in Post-war Period,Social integration and collective identities in multi-ethnic areas of Croatia (project),-999.Not applicable,"Living together, learning together",-999.Not applicable,-999.Not applicable,-999.Not applicable,Attitudes towards education in Vukovar,Attitudes towards education in Vukovar,Attitudes towards education in Vukovar,Communities in Crisis,Communities in Crisis,-999.Not applicable,-999.Not applicable,-999.Not applicable
67,f_2_4,2.4. Name of the larger study Nat.,-999.Not applicable,-999.Not applicable,-999.Not applicable,Empirijsko istraživanje: (re)konstrukcija mreže primarnih socijalnih odnosa u lokalnim zajednicama Zapadne i Istočne Slavonije,Suživot Hrvata i Srba u poslijeratnom razdoblju,Socijalna integracija i kolektivni identiteti u višeetničkim područjima Hrvatske (projekt),-999.Not applicable,"Živjeti zajedno, učiti zajedno",-999.Not applicable,-999.Not applicable,-999.Not applicable,Stavovi prema školovanju u Vukovaru,Stavovi prema školovanju u Vukovaru,Stavovi prema školovanju u Vukovaru,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
68,f_2_5,2.5. Name of other countries/regions/cities Eng.,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,"Mostar, Bosnia and Herzegovina; Prijedor, Bosnia and Herzegovina","Mostar, Bosnia and Herzegovina; Prijedor, Bosnia and Herzegovina",-999.Not applicable,-999.Not applicable,-999.Not applicable
69,sh_2_b,2b. In case of repeated/longitudinal surveys:,,,,,,,,,,,,,,,,,,,
70,f_2_6,2.6. Date of the first survey,-999.Not applicable,-999.Not applicable,-999.Not applicable,00/09/2004,00/03/2005,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,00/10/2001,00/10/2001,00/10/2001,00/06/2000,00/06/2000,-999.Not applicable,-999.Not applicable,-999.Not applicable
71,f_2_7,2.7. Frequency of waves/panels,-999.Not applicable,-999.Not applicable,-999.Not applicable,-99.Information not available,-99.Information not available,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,Irregular but every 4-6 years,Irregular but every 4-6 years,Irregular but every 4-6 years,Every 2 years,Every 2 years,-999.Not applicable,-999.Not applicable,-999.Not applicable
72,f_2_8,2.8. Wave number,-999.Not applicable,-999.Not applicable,-999.Not applicable,1,2,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,1,2,3,1,2,-999.Not applicable,-999.Not applicable,-999.Not applicable
